# Distance (mm), OD (X Direction)
 -25.30451,   0.00407
 -25.20902,   0.00407
 -25.11353,   0.00035
 -25.01805,   0.00221
 -24.92256,   0.00035
 -24.82707,   0.00035
 -24.73158,   0.00221
 -24.63609,   0.00407
 -24.54060,   0.00407
 -24.44511,   0.00221
 -24.34962,   0.00035
 -24.25414,   0.00221
 -24.15865,   0.00221
 -24.06316,   0.00593
 -23.96767,   0.00221
 -23.87218,   0.00407
 -23.77669,   0.00221
 -23.68120,   0.00593
 -23.58571,   0.00593
 -23.49023,   0.00781
 -23.39474,   0.00407
 -23.29925,   0.00781
 -23.20376,   0.00593
 -23.10827,   0.00593
 -23.01278,   0.00781
 -22.91729,   0.00593
 -22.82180,   0.00407
 -22.72632,   0.00407
 -22.63083,   0.00407
 -22.53534,   0.00407
 -22.43985,   0.00593
 -22.34436,   0.00593
 -22.24887,   0.00407
 -22.15338,   0.00407
 -22.05789,   0.00221
 -21.96241,   0.00407
 -21.86692,   0.00221
 -21.77143,   0.00407
 -21.67594,   0.00221
 -21.58045,   0.00407
 -21.48496,   0.00407
 -21.38947,   0.00407
 -21.29398,   0.00407
 -21.19850,   0.00781
 -21.10301,   0.00781
 -21.00752,   0.00593
 -20.91203,   0.00593
 -20.81654,   0.00593
 -20.72105,   0.00407
 -20.62556,   0.00407
 -20.53008,   0.00035
 -20.43459,   0.00221
 -20.33910,   0.00407
 -20.24361,   0.00593
 -20.14812,   0.00593
 -20.05263,   0.00407
 -19.95714,   0.00221
 -19.86165,   0.00221
 -19.76617,   0.00221
 -19.67068,   0.00593
 -19.57519,   0.00781
 -19.47970,   0.00781
 -19.38421,   0.00781
 -19.28872,   0.00593
 -19.19323,   0.00593
 -19.09774,   0.00407
 -19.00226,   0.00407
 -18.90677,   0.00593
 -18.81128,   0.00781
 -18.71579,   0.00781
 -18.62030,   0.00969
 -18.52481,   0.00781
 -18.42932,   0.00781
 -18.33383,   0.00781
 -18.23835,   0.00781
 -18.14286,   0.00781
 -18.04737,   0.00781
 -17.95188,   0.00969
 -17.85639,   0.00969
 -17.76090,   0.00781
 -17.66541,   0.00969
 -17.56992,   0.00781
 -17.47444,   0.00969
 -17.37895,   0.00969
 -17.28346,   0.00781
 -17.18797,   0.01159
 -17.09248,   0.01159
 -16.99699,   0.00969
 -16.90150,   0.00969
 -16.80602,   0.00969
 -16.71053,   0.00781
 -16.61504,   0.00781
 -16.51955,   0.01159
 -16.42406,   0.00781
 -16.32857,   0.00969
 -16.23308,   0.01159
 -16.13759,   0.01159
 -16.04211,   0.01731
 -15.94662,   0.01159
 -15.85113,   0.00969
 -15.75564,   0.01349
 -15.66015,   0.01349
 -15.56466,   0.01159
 -15.46917,   0.01159
 -15.37368,   0.01349
 -15.27820,   0.01540
 -15.18271,   0.01540
 -15.08722,   0.01540
 -14.99173,   0.01731
 -14.89624,   0.01349
 -14.80075,   0.01540
 -14.70526,   0.01540
 -14.60977,   0.01540
 -14.51429,   0.01540
 -14.41880,   0.01731
 -14.32331,   0.02312
 -14.22782,   0.01924
 -14.13233,   0.02312
 -14.03684,   0.01924
 -13.94135,   0.02312
 -13.84586,   0.02117
 -13.75038,   0.02117
 -13.65489,   0.02703
 -13.55940,   0.02900
 -13.46391,   0.02900
 -13.36842,   0.02900
 -13.27293,   0.03496
 -13.17744,   0.03496
 -13.08195,   0.03296
 -12.98647,   0.03296
 -12.89098,   0.03296
 -12.79549,   0.03496
 -12.70000,   0.03697
 -12.60451,   0.04101
 -12.50902,   0.04101
 -12.41353,   0.04509
 -12.31805,   0.04509
 -12.22256,   0.04304
 -12.12707,   0.04304
 -12.03158,   0.04714
 -11.93609,   0.04509
 -11.84060,   0.04101
 -11.74511,   0.04509
 -11.64962,   0.04714
 -11.55414,   0.04714
 -11.45865,   0.04920
 -11.36316,   0.04920
 -11.26767,   0.04920
 -11.17218,   0.05128
 -11.07669,   0.05128
 -10.98120,   0.04920
 -10.88571,   0.04714
 -10.79023,   0.04920
 -10.69474,   0.04920
 -10.59925,   0.05128
 -10.50376,   0.05336
 -10.40827,   0.05545
 -10.31278,   0.05545
 -10.21729,   0.05967
 -10.12180,   0.05967
 -10.02632,   0.05755
  -9.93083,   0.05967
  -9.83534,   0.05755
  -9.73985,   0.05545
  -9.64436,   0.05336
  -9.54887,   0.05755
  -9.45338,   0.05967
  -9.35789,   0.06179
  -9.26241,   0.05967
  -9.16692,   0.05967
  -9.07143,   0.06607
  -8.97594,   0.06607
  -8.88045,   0.06823
  -8.78496,   0.06607
  -8.68947,   0.07039
  -8.59398,   0.07039
  -8.49850,   0.07257
  -8.40301,   0.07917
  -8.30752,   0.07696
  -8.21203,   0.07476
  -8.11654,   0.07696
  -8.02105,   0.08139
  -7.92556,   0.08586
  -7.83008,   0.09039
  -7.73459,   0.08812
  -7.63910,   0.08812
  -7.54361,   0.09496
  -7.44812,   0.09496
  -7.35263,   0.09267
  -7.25714,   0.10660
  -7.16165,   0.10897
  -7.06617,   0.11615
  -6.97068,   0.11374
  -6.87519,   0.12838
  -6.77970,   0.12838
  -6.68421,   0.13338
  -6.58872,   0.13589
  -6.49323,   0.13338
  -6.39774,   0.13843
  -6.30226,   0.14611
  -6.20677,   0.15131
  -6.11128,   0.15658
  -6.01579,   0.16730
  -5.92030,   0.18390
  -5.82481,   0.19824
  -5.72932,   0.20116
  -5.63383,   0.20410
  -5.53835,   0.21609
  -5.44286,   0.23154
  -5.34737,   0.24757
  -5.25188,   0.26421
  -5.15639,   0.27451
  -5.06090,   0.29587
  -4.96541,   0.31452
  -4.86992,   0.33399
  -4.77444,   0.35858
  -4.67895,   0.37579
  -4.58346,   0.39370
  -4.48797,   0.40763
  -4.39248,   0.44714
  -4.29699,   0.46833
  -4.20150,   0.49636
  -4.10602,   0.54535
  -4.01053,   0.56524
  -3.91504,   0.58609
  -3.81955,   0.59327
  -3.72406,   0.64715
  -3.62857,   0.69932
  -3.53308,   0.74817
  -3.43759,   0.78036
  -3.34211,   0.82735
  -3.24662,   0.85291
  -3.15113,   0.92426
  -3.05564,   1.00969
  -2.96015,   1.07039
  -2.86466,   1.09267
  -2.76917,   1.19533
  -2.67368,   1.25748
  -2.57820,   1.25748
  -2.48271,   1.33003
  -2.38722,   1.33003
  -2.29173,   1.37142
  -2.19624,   1.25748
  -2.10075,   1.29224
  -2.00526,   1.29224
  -1.90977,   1.33003
  -1.81429,   1.33003
  -1.71880,   1.33003
  -1.62331,   1.33003
  -1.52782,   1.29224
  -1.43233,   1.33003
  -1.33684,   1.33003
  -1.24135,   1.33003
  -1.14586,   1.29224
  -1.05038,   1.33003
  -0.95489,   1.37142
  -0.85940,   1.37142
  -0.76391,   1.29224
  -0.66842,   1.37142
  -0.57293,   1.33003
  -0.47744,   1.33003
  -0.38195,   1.33003
  -0.28647,   1.33003
  -0.19098,   1.37142
  -0.09549,   1.37142
   0.00000,   1.46833
   0.09549,   1.33003
   0.19098,   1.33003
   0.28647,   1.33003
   0.38195,   1.37142
   0.47744,   1.41718
   0.57293,   1.33003
   0.66842,   1.41718
   0.76391,   1.37142
   0.85940,   1.33003
   0.95489,   1.33003
   1.05038,   1.33003
   1.14586,   1.37142
   1.24135,   1.37142
   1.33684,   1.41718
   1.43233,   1.33003
   1.52782,   1.33003
   1.62331,   1.33003
   1.71880,   1.37142
   1.81429,   1.37142
   1.90977,   1.33003
   2.00526,   1.29224
   2.10075,   1.33003
   2.19624,   1.33003
   2.29173,   1.29224
   2.38722,   1.37142
   2.48271,   1.37142
   2.57820,   1.29224
   2.67368,   1.33003
   2.76917,   1.33003
   2.86466,   1.29224
   2.96015,   1.25748
   3.05564,   1.19533
   3.15113,   1.16730
   3.24662,   1.14097
   3.34211,   1.07039
