# Distance (mm), OD (Y Direction)
 -18.81128,   0.00035
 -18.71579,  -0.00149
 -18.62030,   0.00035
 -18.52481,   0.00035
 -18.42932,  -0.00149
 -18.33383,  -0.00333
 -18.23835,  -0.00333
 -18.14286,  -0.00333
 -18.04737,   0.00035
 -17.95188,   0.00221
 -17.85639,   0.00407
 -17.76090,   0.00035
 -17.66541,   0.00035
 -17.56992,   0.00035
 -17.47444,   0.00035
 -17.37895,   0.00035
 -17.28346,   0.00221
 -17.18797,   0.00221
 -17.09248,   0.00035
 -16.99699,   0.00221
 -16.90150,   0.00407
 -16.80602,   0.00221
 -16.71053,   0.00407
 -16.61504,   0.00221
 -16.51955,  -0.00149
 -16.42406,   0.00035
 -16.32857,   0.00221
 -16.23308,   0.00221
 -16.13759,   0.00221
 -16.04211,   0.00407
 -15.94662,   0.00221
 -15.85113,   0.00407
 -15.75564,   0.00781
 -15.66015,   0.00407
 -15.56466,   0.00593
 -15.46917,   0.00407
 -15.37368,   0.00035
 -15.27820,   0.00035
 -15.18271,   0.00221
 -15.08722,   0.00407
 -14.99173,   0.00593
 -14.89624,   0.00407
 -14.80075,   0.00407
 -14.70526,   0.00221
 -14.60977,   0.00407
 -14.51429,   0.00407
 -14.41880,   0.00781
 -14.32331,   0.00593
 -14.22782,   0.00781
 -14.13233,   0.00593
 -14.03684,   0.00781
 -13.94135,   0.00407
 -13.84586,   0.00969
 -13.75038,   0.00969
 -13.65489,   0.00781
 -13.55940,   0.00781
 -13.46391,   0.00969
 -13.36842,   0.00781
 -13.27293,   0.00407
 -13.17744,   0.00781
 -13.08195,   0.00781
 -12.98647,   0.00781
 -12.89098,   0.00969
 -12.79549,   0.01159
 -12.70000,   0.00781
 -12.60451,   0.01159
 -12.50902,   0.00969
 -12.41353,   0.01349
 -12.31805,   0.01540
 -12.22256,   0.01159
 -12.12707,   0.01159
 -12.03158,   0.01159
 -11.93609,   0.01159
 -11.84060,   0.01159
 -11.74511,   0.00969
 -11.64962,   0.01349
 -11.55414,   0.01349
 -11.45865,   0.01349
 -11.36316,   0.01349
 -11.26767,   0.01540
 -11.17218,   0.01731
 -11.07669,   0.01349
 -10.98120,   0.01731
 -10.88571,   0.01540
 -10.79023,   0.01540
 -10.69474,   0.01731
 -10.59925,   0.01731
 -10.50376,   0.01540
 -10.40827,   0.01924
 -10.31278,   0.01731
 -10.21729,   0.01924
 -10.12180,   0.01731
 -10.02632,   0.01924
  -9.93083,   0.01731
  -9.83534,   0.01924
  -9.73985,   0.02117
  -9.64436,   0.02312
  -9.54887,   0.02312
  -9.45338,   0.02507
  -9.35789,   0.02703
  -9.26241,   0.02703
  -9.16692,   0.02703
  -9.07143,   0.02900
  -8.97594,   0.03098
  -8.88045,   0.03296
  -8.78496,   0.03496
  -8.68947,   0.03496
  -8.59398,   0.03296
  -8.49850,   0.03697
  -8.40301,   0.03697
  -8.30752,   0.03898
  -8.21203,   0.04101
  -8.11654,   0.04304
  -8.02105,   0.04714
  -7.92556,   0.04920
  -7.83008,   0.04920
  -7.73459,   0.05336
  -7.63910,   0.05545
  -7.54361,   0.06179
  -7.44812,   0.06179
  -7.35263,   0.06823
  -7.25714,   0.07039
  -7.16165,   0.07476
  -7.06617,   0.07476
  -6.97068,   0.07696
  -6.87519,   0.07917
  -6.77970,   0.08586
  -6.68421,   0.09039
  -6.58872,   0.09267
  -6.49323,   0.09958
  -6.39774,   0.10897
  -6.30226,   0.11857
  -6.20677,   0.12100
  -6.11128,   0.12591
  -6.01579,   0.13338
  -5.92030,   0.14611
  -5.82481,   0.15923
  -5.72932,   0.17002
  -5.63383,   0.18109
  -5.53835,   0.19824
  -5.44286,   0.21306
  -5.34737,   0.22841
  -5.25188,   0.24109
  -5.15639,   0.25415
  -5.06090,   0.28152
  -4.96541,   0.29954
  -4.86992,   0.31452
  -4.77444,   0.33003
  -4.67895,   0.35023
  -4.58346,   0.38020
  -4.48797,   0.39829
  -4.39248,   0.43190
  -4.29699,   0.45234
  -4.20150,   0.49061
  -4.10602,   0.50219
  -4.01053,   0.53257
  -3.91504,   0.56524
  -3.81955,   0.60057
  -3.72406,   0.63106
  -3.62857,   0.68123
  -3.53308,   0.71821
  -3.43759,   0.76936
  -3.34211,   0.85291
  -3.24662,   0.89430
  -3.15113,   0.94006
  -3.05564,   1.00969
  -2.96015,   1.09267
  -2.86466,   1.14097
  -2.76917,   1.16730
  -2.67368,   1.22529
  -2.57820,   1.25748
  -2.48271,   1.33003
  -2.38722,   1.29224
  -2.29173,   1.25748
  -2.19624,   1.33003
  -2.10075,   1.37142
  -2.00526,   1.29224
  -1.90977,   1.37142
  -1.81429,   1.33003
  -1.71880,   1.37142
  -1.62331,   1.29224
  -1.52782,   1.33003
  -1.43233,   1.33003
  -1.33684,   1.29224
  -1.24135,   1.33003
  -1.14586,   1.33003
  -1.05038,   1.37142
  -0.95489,   1.41718
  -0.85940,   1.33003
  -0.76391,   1.29224
  -0.66842,   1.37142
  -0.57293,   1.41718
  -0.47744,   1.41718
  -0.38195,   1.29224
  -0.28647,   1.37142
  -0.19098,   1.37142
  -0.09549,   1.33003
   0.00000,   1.46833
   0.09549,   1.33003
   0.19098,   1.29224
   0.28647,   1.29224
   0.38195,   1.41718
   0.47744,   1.37142
   0.57293,   1.33003
   0.66842,   1.33003
   0.76391,   1.33003
   0.85940,   1.33003
   0.95489,   1.37142
   1.05038,   1.41718
   1.14586,   1.29224
   1.24135,   1.29224
   1.33684,   1.33003
   1.43233,   1.33003
   1.52782,   1.33003
   1.62331,   1.33003
   1.71880,   1.37142
   1.81429,   1.33003
